last_name,first_name,player_id,year,player_age,p_formatted_ip,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Boxberger, Brad,502202,2022,34,64.0,.211,.350,.289,.298,.138,86.4,19.1,6.4,
Anderson, Chase,502624,2022,34,24.0,.193,.291,.301,.341,.098,84.2,9.3,6.5,
O'Day, Darren,503285,2022,39,21.2,.193,.291,.257,.288,.098,85.6,18.6,5.3,
Peralta, Wily,503449,2022,33,38.1,.234,.339,.315,.349,.106,88.8,11.1,4.5,
Darvish, Yu,506433,2022,35,194.2,.227,.388,.291,.275,.161,88.5,17,8.8,
Colome, Alex,517008,2022,33,47.0,.290,.484,.365,.363,.193,90.2,1.4,10,
Alexander, Scott,518397,2022,32,17.1,.211,.324,.240,.224,.113,84.5,-11,5.8,
Brasier, Ryan,518489,2022,34,62.1,.249,.434,.309,.286,.185,90.7,11.5,8.6,
Bumgarner, Madison,518516,2022,32,158.2,.276,.488,.358,.337,.211,90.3,16.8,9.8,
Cishek, Steve,518553,2022,36,66.1,.233,.393,.329,.340,.161,87.3,15,8.7,
Cruz, Fernando,518585,2022,32,14.2,.195,.285,.285,.321,.090,87.8,11.8,3,
Diekman, Jake,518617,2022,35,57.2,.209,.349,.319,.354,.139,89.8,15.9,7.1,
Grimm, Justin,518748,2022,33,15.1,.273,.400,.347,.367,.128,85.9,12,9.8,
Holland, Greg,518813,2022,36,4.2,.319,.765,.475,.365,.447,95.2,3.7,28.6,
Kelly, Merrill,518876,2022,33,200.1,.230,.383,.296,.291,.153,88.5,14,8.3,
Kimbrel, Craig,518886,2022,34,60.0,.205,.349,.292,.305,.144,90.7,16,9,
McFarland, T.J.,519008,2022,33,32.2,.312,.486,.374,.374,.173,92.5,4.1,7.8,
Moore, Matt,519043,2022,33,74.0,.187,.288,.263,.290,.101,87.7,15.2,4.4,
Pressly, Ryan,519151,2022,33,48.1,.202,.315,.253,.254,.114,89,9.1,5.8,
Sale, Chris,519242,2022,33,5.2,.278,.362,.313,.336,.083,84,4.1,5.6,
Smith, Will,519293,2022,32,59.0,.224,.356,.294,.306,.132,88.9,17.5,5.9,
Strickland, Hunter,519326,2022,33,62.1,.254,.447,.354,.358,.193,89.8,17.6,9.8,
Baez, Pedro,520980,2022,34,2.1,.346,.537,.453,.482,.191,90,12.2,9.1,
Hendriks, Liam,521230,2022,33,57.2,.182,.315,.252,.249,.133,90.5,17.8,9.1,
Kelly, Joe,523260,2022,34,37.0,.190,.272,.277,.314,.082,85.9,-0.7,3.3,
Perez, Martin,527048,2022,31,196.1,.242,.346,.295,.311,.105,88.2,8.1,4.3,
Vizcaino, Arodys,527055,2022,31,5.2,.292,.568,.440,.463,.276,94.3,14.7,10.5,
Castellanos, Humberto,528748,2022,24,44.1,.281,.470,.353,.339,.189,89.6,16.5,6.9,
