SSBB,MLBAM,NL,pos,h,age,team,firstName,lastName,1B,2B,3B,SS,OF,osbAL,ocsAL,osbNL,ocsNL,BAvR,OBvR,SLvR,BAvL,OBvL,SLvL
187,680742,1187,P,R,26,KC,Jonathan,Bowlan,,,,,,,,,,,,,,,
188,700924,1188,P,L,19,KC,Frank,Mozzicato,,,,,,,,,,,,,,,
189,695667,1189,P,R,20,KC,Ben,Kudrna,,,,,,,,,,,,,,,
190,679525,1190,P,R,24,KC,Alec,Marsh,,,,,,,,,,,,,,,
191,666364,1191,P,R,24,Min,Jordan,Balazovic,,,,,,,,,,,,,,,
192,669416,1192,P,R,24,Min,Blayne,Enlow,,,,,,,,,,,,,,,
193,,1193,P,R,20,Min,Marco,Raya,,,,,,,,,,,,,,,
194,,1194,P,L,22,Min,Connor(round/2/2022/MLB/draft),Prielipp,,,,,,,,,,,,,,,
195,,1195,P,R,23,Min,David,Festa,,,,,,,,,,,,,,,
196,672782,1196,P,R,23,NYA,Yoendrys,Gomez,,,,,,,,,,,,,,,
197,681190,1197,P,R,24,NYA,Randy,Vasquez,,,,,,,,,,,,,,,
198,,1198,P,R,24,NYA,Will,Warren,,,,,,,,,,,,,,,
199,,1199,P,R,22,NYA,Drew(round/2/2022/MLB/draft),Thorpe,,,,,,,,,,,,,,,
200,690925,1200,P,R,24,NYA,Clayton,Beeter,,,,,,,,,,,,,,,
201,665622,1201,P,R,23,Oak,Luis,Medina,,,,,,,,,,,,,,,
202,680684,1202,P,R,22,Oak,Gunnar,Hoglund,,,,,,,,,,,,,,,
203,,1203,P,R,28,Oak,Shintaro,Fujinami,,,,,,,,,,,,,,,
204,,1204,P,R,24,Oak,Mason,Miller,,,,,,,,,,,,,,,
205,669372,1205,P,R,23,Oak,J.T.,Ginn,,,,,,,,,,,,,,,
206,676106,1206,P,R,24,Sea,Emerson,Hancock,,,,,,,,,,,,,,,
207,672730,1207,P,R,23,Sea,Juan,Then,,,,,,,,,,,,,,,
208,,1208,P,R,24,Sea,Bryce,Miller,,,,,,,,,,,,,,,
209,,1209,P,R,24,Sea,Taylor,Dollard,,,,,,,,,,,,,,,
210,,1210,P,R,23,Sea,Bryan,Woo,,,,,,,,,,,,,,,
211,,1211,P,R,24,Sea,Chris,Clarke,,,,,,,,,,,,,,,
212,,1212,P,R,23,Sea,Prelander,Berroa,,,,,,,,,,,,,,,
213,668390,1213,P,R,23,Tex,Cole,Winn,,,,,,,,,,,,,,,
214,676568,1214,P,R,24,Tex,Ricky,Vanasco,,,,,,,,,,,,,,,
215,683004,1215,P,R,22,Tex,Jack,Leiter,,,,,,,,,,,,,,,
216,669391,1216,P,R,23,Tex,Owen,White,,,,,,,,,,,,,,,
217,677958,1217,P,R,23,Tex,Kumar(round/1/2022/MLB/draft),Rocker,,,,,,,,,,,,,,,
218,,1218,P,R,19,Tex,Brock(round/4/2022/MLB/draft),Porter,,,,,,,,,,,,,,,
219,691172,1219,P,R,25,Tor,Yosver,Zulueta,,,,,,,,,,,,,,,
220,694357,1220,P,L,20,Tor,Ricky,Tiedemann,,,,,,,,,,,,,,,
221,,1221,P,L,22,Tor,Adam,Macko,,,,,,,,,,,,,,,
222,,1222,P,R,20,Tor,Dahian,Santos,,,,,,,,,,,,,,,
223,,1223,P,R,21,Tor,Semm,Robberse,,,,,,,,,,,,,,,
224,702255,1224,P,L,19,Tor,Brandon(round/1/2022/MLB/draft),Barriera,,,,,,,,,,,,,,,
225,666215,1225,P,R,25,Hou,Forrest,Whitley,,,,,,,,,,,,,,,
226,691012,1226,P,R,21,Hou,Alex,Santos,,,,,,,,,,,,,,,
227,681869,1227,P,R,27,Hou,Shawn,Dubin,,,,,,,,,,,,,,,
