Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"James McCann","BAL",62,247,227,56,40,10,0,7,26,27,16,0,69,3,1,0,,2,1,0.246753,0.0626866,0.280597,0.223404,0.301493,0.376623,0.298865,0.678116,0.12987,3.00212,0.323672,0,-0.0916983,26.1507,-2.13864,94.1822,-0.0916983,-0.397161,-1.7113659381866455,2.602838695049286,0.920944,647.510009765625,,,,"12859"
"Kerry Carpenter","DET",81,350,320,80,47,17,1,14,42,50,22,1,81,6,3,0,,2,4,0.248879,0.0614754,0.231557,0.265487,0.305328,0.439462,0.321454,0.74479,0.190583,3.40393,0.289308,0,-1.29678,43.2769,3.2556,111.131,-1.29678,0.126605,3.0871574878692627,-5.523395046591759,0.914657,417.7699890136719,,,,"25961"
"Bo Naylor","CLE",55,221,195,41,25,8,1,6,26,27,23,0,67,2,1,0,,4,1,0.209524,0.104822,0.301887,0.347222,0.29979,0.366667,0.296438,0.666457,0.157143,5.54513,0.280303,0,0.25905,22.9549,-2.33856,92.0659,0.25905,0.821172,-1.7158703207969666,3.2711724042892456,0.903027,385.6099853515625,,,,"21865"
"Edward Olivares","KCR",71,308,281,74,51,13,2,8,41,36,19,0,58,5,2,1,,6,4,0.263158,0.0632911,0.189873,0.333333,0.319797,0.404432,0.317873,0.724229,0.141274,5.00052,0.305755,0,-0.613964,37.2072,1.98853,104.069,-0.613964,0.978353,0.7962947487831116,-2.021647095680237,0.901341,337.45001220703125,,,,"19698"
"Juan Yepez","STL",57,245,225,59,36,11,0,12,28,38,16,0,56,2,2,0,,0,1,0.263039,0.0645833,0.229167,0.281818,0.314583,0.47619,0.340796,0.790774,0.213152,1.30557,0.29582,0,-0.424556,34.0584,6.04347,123.794,-0.424556,-0.27864,6.34828308224678,-6.053640127182007,0.896429,332.1600036621094,,,,"18400"
"Oswaldo Cabrera","NYY",81,350,320,73,44,17,1,11,40,43,25,0,97,1,2,1,,7,4,0.228833,0.0711297,0.276151,0.257576,0.285714,0.393593,0.296608,0.679307,0.16476,4.86068,0.290102,0,-0.280623,36.3683,-3.65299,93.1291,-0.280623,2.55789,-2.98676797747612,0.3578946590423584,0.894431,321.70001220703125,,,,"21707"
"Whit Merrifield","TOR",117,504,464,117,80,24,2,10,65,56,31,1,82,3,6,0,,16,4,0.251397,0.0617496,0.16295,0.378947,0.298456,0.378026,0.29528,0.676482,0.126629,5.69932,0.281465,0,1.09953,51.8385,-5.79214,92.0541,1.09953,-0.943412,-3.40698504447937,-4.193411767482758,0.887438,197.61000061035156,,,,"11281"
"Connor Wong","BOS",44,173,161,42,25,9,1,5,18,25,9,0,50,1,1,0,,2,1,0.258427,0.0548303,0.289817,0.189189,0.303665,0.435393,0.320102,0.739058,0.176966,4.69932,0.340426,0,-0.0566161,21.1807,1.42168,103.288,-0.0566161,-1.08223,0.5827286429703236,2.292773127555847,0.879786,697.010009765625,,,,"19896"
"Connor Joe","PIT",50,217,185,46,30,10,1,5,27,18,27,0,47,4,2,0,,2,1,0.248603,0.12381,0.216667,0.571429,0.352381,0.388268,0.330529,0.740649,0.139665,3.95412,0.306513,0,-0.147555,28.396,3.58284,112.808,-0.147555,0.813086,3.081630602478981,-2.011914312839508,0.878895,612.1099853515625,,,,"16572"
"Taylor Walls","TBR",60,259,227,47,29,12,2,5,32,24,29,1,66,1,2,1,,7,3,0.208651,0.111359,0.256125,0.434783,0.299107,0.343511,0.286494,0.642619,0.13486,5.84342,0.268382,0,-0.231384,24.8315,-4.78419,90.2624,-0.231384,1.5722,-3.0694300830364227,3.0971966981887817,0.86905,604.27001953125,,,,"22458"
